,0
1619,1.0
1620,0.02
1621,-0.17
1622,0.99
1623,0.02
1624,-0.15
1625,1.0
1626,-0.01
1627,-0.17
1628,1.0
1629,0.02
1630,-0.16
1631,1.0
1632,0.01
1633,-0.15
1634,1.0
1635,-0.0
1636,-0.16
1637,1.0
1638,0.02
1639,-0.16
1640,1.0
1641,0.01
1642,-0.16
1643,1.0
1644,0.01
1645,-0.16
1646,1.0
1647,0.01
1648,-0.16
1649,1.0
1650,0.01
1651,-0.17
1652,1.0
1653,0.01
1654,-0.15
1655,1.0
1656,0.0
1657,-0.16
1658,1.01
1659,0.01
1660,-0.17
1661,0.99
1662,0.0
1663,-0.15
1664,1.0
1665,0.0
1666,-0.17
1667,1.01
1668,0.02
1669,-0.17
1670,0.99
1671,-0.0
1672,-0.14
1673,1.01
1674,0.01
1675,-0.18
1676,1.0
1677,0.02
1678,-0.16
1679,0.98
1680,-0.01
1681,-0.15
1682,1.02
1683,0.02
1684,-0.19
1685,0.99
1686,0.02
1687,-0.14
1688,0.99
1689,-0.02
1690,-0.16
1691,1.02
1692,0.03
1693,-0.18
1694,0.98
1695,0.01
1696,-0.13
1697,1.0
1698,-0.02
1699,-0.17
1700,1.02
1701,0.04
1702,-0.17
1703,0.98
1704,-0.0
1705,-0.13
1706,1.01
1707,-0.01
1708,-0.18
1709,1.01
1710,0.04
1711,-0.16
1712,0.98
1713,-0.02
1714,-0.14
1715,1.01
1716,0.01
1717,-0.19
1718,1.0
1719,0.04
1720,-0.14
1721,0.98
1722,-0.03
1723,-0.15
1724,1.02
1725,0.02
1726,-0.19
1727,0.99
1728,0.04
1729,-0.18
1730,0.98
1731,0.01
1732,-0.12
1733,1.0
1734,-0.02
1735,-0.19
1736,1.02
1737,0.05
1738,-0.17
1739,0.97
1740,-0.02
1741,-0.13
1742,1.01
1743,-0.01
1744,-0.2
1745,1.01
1746,0.05
1747,-0.15
1748,0.97
1749,-0.03
1750,-0.14
1751,1.02
1752,0.02
1753,-0.2
1754,0.99
1755,0.04
1756,-0.13
1757,0.98
1758,-0.04
1759,-0.16
1760,1.03
1761,0.04
1762,-0.19
1763,0.98
1764,0.02
1765,-0.12
1766,1.0
1767,-0.03
1768,-0.18
1769,1.02
1770,0.05
1771,-0.17
1772,0.97
1773,-0.01
1774,-0.12
1775,1.01
1776,-0.02
1777,-0.2
1778,1.01
1779,0.06
1780,-0.15
1781,0.97
1782,-0.03
1783,-0.14
1784,1.02
1785,0.01
1786,-0.2
1787,1.0
1788,0.05
1789,-0.13
1790,0.98
1791,-0.04
1792,-0.16
1793,1.03
1794,0.03
1795,-0.2
1796,0.99
1797,0.03
1798,-0.12
1799,0.99
1800,-0.04
1801,-0.18
1802,1.02
1803,0.05
1804,-0.18
1805,0.97
1806,-0.0
1807,-0.12
1808,1.0
1809,-0.02
1810,-0.2
1811,1.02
1812,0.06
1813,-0.16
1814,0.97
1815,-0.02
1816,-0.13
1817,1.02
1818,-0.0
1819,-0.2
1820,1.0
1821,0.05
1822,-0.14
1823,0.98
1824,-0.04
1825,-0.15
1826,1.02
1827,0.02
1828,-0.2
1829,0.99
1830,0.03
1831,-0.12
1832,0.98
1833,-0.04
1834,-0.17
1835,1.03
1836,0.05
1837,-0.19
1838,0.98
1839,0.0
1840,-0.12
1841,1.0
1842,-0.03
1843,-0.19
1844,1.02
1845,0.06
1846,-0.16
1847,0.97
1848,-0.02
1849,-0.13
1850,1.01
1851,-0.01
1852,-0.2
1853,1.01
1854,0.05
1855,-0.14
1856,0.97
1857,-0.04
1858,-0.15
1859,1.02
1860,0.02
1861,-0.2
1862,0.99
1863,0.04
1864,-0.12
1865,0.98
1866,-0.04
1867,-0.17
1868,1.02
1869,0.04
1870,-0.19
1871,0.98
1872,0.01
1873,-0.12
1874,1.0
1875,-0.03
1876,-0.19
1877,1.02
1878,0.06
1879,-0.17
1880,0.97
1881,-0.02
1882,-0.12
1883,1.01
1884,-0.01
1885,-0.2
1886,1.01
1887,0.05
1888,-0.15
1889,0.97
1890,-0.04
1891,-0.14
1892,1.02
1893,0.02
1894,-0.2
1895,0.99
1896,0.04
1897,-0.12
1898,0.99
1899,-0.04
1900,-0.17
1901,1.02
1902,0.04
1903,-0.19
1904,0.98
1905,0.01
1906,-0.12
1907,1.0
1908,-0.03
1909,-0.19
1910,1.02
1911,0.06
1912,-0.17
1913,0.97
1914,-0.01
1915,-0.12
1916,1.01
1917,-0.01
1918,-0.2
1919,1.01
1920,0.02
1921,-0.2
1922,1.0
1923,0.04
1924,-0.13
1925,0.98
1926,-0.04
1927,-0.17
1928,1.02
1929,0.04
1930,-0.19
1931,0.98
1932,0.01
1933,-0.11
1934,1.0
1935,-0.03
